Cultivar	Wild
s955	Landrace	
s956	Landrace	
s957	Landrace	
s958	Landrace	
s959	Landrace	
s960	Landrace	
s961	Landrace	
s962	Landrace	
s963	Landrace	
s964	Landrace	
s965	Landrace	
s966	Landrace	
s967	Landrace	
s968	Landrace	
s969	Landrace	
s970	Landrace	
s971	Landrace	
s972	Landrace	
s973	Landrace	
s974	Landrace	
s975	Landrace	
s976	Landrace	
s977	Landrace	
s978	Landrace	
s979	Landrace	
s980	Landrace	
s981	Landrace	
s982	Landrace	
s983	Landrace	
s984	Landrace	
s985	Landrace	
s986	Landrace	
s987	Landrace	
s988	Landrace	
s989	Landrace	
s990	Landrace	
s991	Landrace	
s992	Landrace	
s993	Landrace	
s994	Landrace	
s995	Landrace	
s996	Landrace	
s997	Landrace	
s998	Landrace	
s999	Landrace	
s1000	Landrace	
s1001	Landrace	
s1002	Landrace	
s1003	Landrace	
s1004	Landrace	
s1005	Landrace	
s1006	Landrace	
s1007	Landrace	
s1008	Landrace	
s1009	Landrace	
s1010	Landrace	
s1011	Landrace	
s1012	Landrace	
s1013	Landrace	
s1014	Landrace	
s1015	Landrace	
s1016	Landrace	
s1017	Landrace	
s1018	Landrace	
s1019	Landrace	
s1020	Landrace	
s1021	Landrace	
s1022	Landrace	
s1023	Landrace	
s1024	Landrace	
s1025	Landrace	
s1026	Landrace	
s1027	Landrace	
s1028	Landrace	
s1029	Landrace	
s1030	Landrace	
s1031	Landrace	
s1032	Landrace	
s1033	Landrace	
s1034	Landrace	
s1035	Landrace	
s1036	Landrace	
s1037	Landrace	
s1038	Landrace	
s1039	Landrace	
s1040	Landrace	
s1041	Landrace	
s1042	Landrace	
s1043	Landrace	
s1044	Landrace	
s1045	Landrace	
s1046	Landrace	
s1047	Landrace	
s1048	Landrace	
s1049	Landrace	
s1050	Landrace	
s1051	Landrace	
s1052	Landrace	
s1053	Landrace	
s1054	Landrace	
s1055	Landrace	
s1056	Landrace	
s1057	Landrace	
s1058	Landrace	
s1059	Landrace	
s1060	Landrace	
s1061	Landrace	
s1062	Landrace	
s1063	Landrace	
s1064	Landrace	
s1065	Landrace	
s1066	Landrace	
s1067	Landrace	
s1068	Landrace	
s1069	Landrace	
s1070	Landrace	
s1071	Landrace	
s1072	Landrace	
s1073	Landrace	
s1074	Landrace	
s1075	Landrace	
s1076	Landrace	
s1077	Landrace	
s1078	Landrace	
s1079	Landrace	
s1080	Landrace	
s1081	Landrace	
s1082	Landrace	
s1083	Landrace	
s1084	Landrace	
s1085	Landrace	
s1086	Landrace	
s1087	Landrace	
s1088	Landrace	
s1089	Landrace	
s1090	Landrace	
s1091	Landrace	
s1092	Landrace	
s1093	Landrace	
s1094	Landrace	
s1095	Landrace	
s1096	Landrace	
s1097	Landrace	
s1098	Landrace	
s1099	Landrace	
s1100	Landrace	
s1101	Landrace	
s1102	Landrace	
s1103	Landrace	
s1104	Landrace	
s1105	Landrace	
s1106	Landrace	
s1107	Landrace	
s1108	Landrace	
s1109	Landrace	
s1110	Landrace	
s1111	Landrace	
s1112	Landrace	
s1113	Landrace	
s1114	Landrace	
s1115	Landrace	
s1116	Landrace	
s1117	Landrace	
s1118	Landrace	
s1119	Landrace	
s1120	Landrace	
s1121	Landrace	
s1122	Landrace	
s1123	Landrace	
s1124	Landrace	
s1125	Landrace	
s1126	Landrace	
s1127	Landrace	
s1128	Landrace	
s1129	Landrace	
s1130	Landrace	
s1131	Landrace	
s1132	Landrace	
s1133	Landrace	
s1134	Landrace	
s1135	Landrace	
s1136	Landrace	
s1137	Landrace	
s1138	Landrace	
s1139	Landrace	
s1140	Landrace	
s1141	Landrace	
s1142	Landrace	
s1143	Landrace	
s1144	Landrace	
s1145	Landrace	
s1146	Landrace	
s1147	Landrace	
s1148	Landrace	
s1149	Landrace	
s1150	Landrace	
s1151	Landrace	
s1152	Landrace	
s1153	Landrace	
s1154	Landrace	
s1155	Landrace	
s1156	Landrace	
s1157	Landrace	
s1158	Landrace	
s1159	Landrace	
s1160	Landrace	
s1161	Landrace	
s1162	Landrace	
s1163	Landrace	
s1164	Landrace	
s1165	Landrace	
s1166	Landrace	
s1167	Landrace	
s1168	Landrace	
s1169	Landrace	
s1170	Landrace	
s1171	Landrace	
s1172	Landrace	
s1173	Landrace	
s1174	Landrace	
s1175	Landrace	
s1176	Landrace	
s1177	Landrace	
s1178	Landrace	
s1179	Landrace	
s1180	Landrace	
s1181	Landrace	
s1182	Landrace	
s1183	Landrace	
s1184	Landrace	
s1185	Landrace	
s1186	Landrace	
s1187	Landrace	
s1188	Landrace	
s1189	Landrace	
s1190	Landrace	
s1191	Landrace	
s1192	Landrace	
s1193	Landrace	
s1194	Landrace	
s1195	Landrace	
s1196	Landrace	
s1197	Landrace	
s1198	Landrace	
s1199	Landrace	
s1200	Landrace	
s1201	Landrace	
s1202	Landrace	
s1203	Landrace	
s1204	Landrace	
s1205	Landrace	
s1206	Landrace	
s1207	Landrace	
s1208	Landrace	
s1209	Landrace	
s1210	Landrace	
s1211	Landrace	
s1212	Landrace	
s1213	Landrace	
s1214	Landrace	
s1215	Landrace	
s1216	Landrace	
s1217	Landrace	
s1218	Landrace	
s1219	Landrace	
s1220	Landrace	
s1221	Landrace	
s1222	Landrace	
s1223	Landrace	
s1224	Landrace	
s1225	Landrace	
s1226	Landrace	
s1227	Landrace	
s1228	Landrace	
s1229	Landrace	
s1230	Landrace	
s1231	Landrace	
s1232	Landrace	
s1233	Landrace	
s1234	Landrace	
s1235	Landrace	
s1236	Landrace	
s1237	Landrace	
s1238	Landrace	
s1239	Landrace	
s1240	Landrace	
s1241	Landrace	
s1242	Landrace	
s1243	Landrace	
s1244	Landrace	
s1245	Landrace	
s1246	Landrace	
s1247	Landrace	
s1248	Landrace	
s1249	Landrace	
s1250	Landrace	
s1251	Landrace	
s1252	Landrace	
s1253	Landrace	
s1254	Landrace	
s1255	Landrace	
s1256	Landrace	
s1257	Landrace	
s1258	Landrace	
s1259	Landrace	
s1260	Landrace	
s1261	Landrace	
s1262	Landrace	
s1263	Landrace	
s1264	Landrace	
s1265	Landrace	
s1266	Landrace	
s1267	Landrace	
s1268	Landrace	
s1269	Landrace	
s1270	Landrace	
s1271	Landrace	
s1272	Landrace	
s1273	Landrace	
s1274	Landrace	
s1275	Landrace	
s1276	Landrace	
s1277	Landrace	
s1278	Landrace	
s1279	Landrace	
s1280	Landrace	
s1281	Landrace	
s1282	Landrace	
s1283	Landrace	
s1284	Landrace	
s1285	Landrace	
s1286	Landrace	
s1287	Landrace	
s1288	Landrace	
s1289	Landrace	
s1290	Landrace	
s1291	Landrace	
s1292	Landrace	
s1293	Landrace	
s1294	Landrace	
s1295	Landrace	
s1296	Landrace	
s1297	Landrace	
s1298	Landrace	
s1299	Landrace	
s1300	Landrace	
s1301	Landrace	
s1302	Landrace	
s1303	Landrace	
s1304	Landrace	
s1305	Landrace	
s1306	Landrace	
s1307	Landrace	
s1308	Landrace	
s1309	Landrace	
s1310	Landrace	
s1311	Landrace	
s1312	Landrace	
s1313	Landrace	
s1314	Landrace	
s1315	Landrace	
s1316	Landrace	
s1317	Landrace	
s1318	Landrace	
s1319	Landrace	
s1320	Landrace	
s1321	Landrace	
s1322	Landrace	
s1323	Landrace	
s1324	Landrace	
s1325	Landrace	
s1326	Landrace	
s1327	Landrace	
s1328	Landrace	
s1329	Landrace	
s1330	Landrace	
s1331	Landrace	
s1332	Landrace	
s1333	Landrace	
s1334	Landrace	
s1335	Landrace	
s1336	Landrace	
s1337	Landrace	
s1338	Landrace	
s1339	Landrace	
s1340	Landrace	
s1341	Landrace	
s1342	Landrace	
s1343	Landrace	
s1344	Landrace	
s1345	Landrace	
s1346	Landrace	
s1347	Landrace	
s1348	Landrace	
s1349	Landrace	
s1350	Landrace	
